{'Number': 10, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 428, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 429, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 430, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 431, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 432, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 433, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 434, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 435, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 436, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 437, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 438, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 439, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 440, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 441, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 442, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 443, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 444, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 445, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 446, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 447, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 448, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 449, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 450, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 451, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 452, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 453, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 454, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 455, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 456, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 457, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 458, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 459, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 460, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 461, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 462, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 463, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 464, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 465, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 466, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 467, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 468, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 469, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 470, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 471, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 472, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 473, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 474, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 475, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 476, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 477, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 478, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 479, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 480, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 481, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 482, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 483, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 484, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 485, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 486, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 487, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 488, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 489, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 490, 'Palindrone': 'Yes', 'Number of processes': 8}
{'Number': 491, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 492, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 494, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 495, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 496, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 497, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 498, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 499, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 500, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 501, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 502, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 503, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 504, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 505, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 506, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 507, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 508, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 509, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 510, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 511, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 512, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 513, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 514, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 515, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 516, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 517, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 518, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 519, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 520, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 521, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 522, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 523, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 524, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 525, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 526, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 527, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 528, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 529, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 530, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 531, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 532, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 533, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 534, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 535, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 536, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 537, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 538, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 539, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 540, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 541, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 542, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 543, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 544, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 545, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 546, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 547, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 548, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 549, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 550, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 551, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 552, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 553, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 554, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 555, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 556, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 557, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 558, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 559, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 560, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 561, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 562, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 563, 'Palindrone': 'Yes', 'Number of processes': 11}
{'Number': 564, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 565, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 566, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 567, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 568, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 569, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 570, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 571, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 572, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 573, 'Palindrone': 'Yes', 'Number of processes': 15}
{'Number': 574, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 575, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 576, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 577, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 578, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 579, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 580, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 581, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 582, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 584, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 585, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 586, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 587, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 588, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 589, 'Palindrone': 'Yes', 'Number of processes': 8}
{'Number': 590, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 591, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 593, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 594, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 595, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 596, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 597, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 598, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 599, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 600, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 601, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 602, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 603, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 604, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 605, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 606, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 607, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 608, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 609, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 610, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 611, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 612, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 613, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 614, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 615, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 616, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 617, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 618, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 619, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 620, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 621, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 622, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 623, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 624, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 625, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 626, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 627, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 628, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 629, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 630, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 631, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 632, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 633, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 634, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 635, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 636, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 637, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 638, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 639, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 640, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 641, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 642, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 643, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 644, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 645, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 646, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 647, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 648, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 649, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 650, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 651, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 652, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 653, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 654, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 655, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 656, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 657, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 658, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 659, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 660, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 661, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 662, 'Palindrone': 'Yes', 'Number of processes': 11}
{'Number': 663, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 664, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 665, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 666, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 667, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 668, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 669, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 670, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 671, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 672, 'Palindrone': 'Yes', 'Number of processes': 15}
{'Number': 673, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 674, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 675, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 676, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 677, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 678, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 679, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 680, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 681, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 683, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 684, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 685, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 686, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 687, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 688, 'Palindrone': 'Yes', 'Number of processes': 8}
{'Number': 690, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 692, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 693, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 694, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 695, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 696, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 697, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 698, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 699, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 700, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 701, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 702, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 703, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 704, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 705, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 706, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 707, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 708, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 709, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 710, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 711, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 712, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 713, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 714, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 715, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 716, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 717, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 718, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 719, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 720, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 721, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 722, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 723, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 724, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 725, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 726, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 727, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 728, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 729, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 730, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 731, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 732, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 733, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 734, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 735, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 736, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 737, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 738, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 739, 'Palindrone': 'Yes', 'Number of processes': 17}
{'Number': 740, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 741, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 742, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 743, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 744, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 745, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 746, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 747, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 748, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 749, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 750, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 751, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 752, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 753, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 754, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 755, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 756, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 757, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 758, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 759, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 760, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 761, 'Palindrone': 'Yes', 'Number of processes': 11}
{'Number': 762, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 763, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 764, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 765, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 766, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 767, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 768, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 769, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 770, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 771, 'Palindrone': 'Yes', 'Number of processes': 15}
{'Number': 772, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 773, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 774, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 775, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 776, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 777, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 778, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 779, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 780, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 782, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 783, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 784, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 785, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 786, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 787, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 789, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 791, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 792, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 793, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 794, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 795, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 796, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 797, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 798, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 799, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 800, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 801, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 802, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 803, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 804, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 805, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 806, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 807, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 808, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 809, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 810, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 811, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 812, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 813, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 814, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 815, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 816, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 817, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 818, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 819, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 820, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 821, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 822, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 823, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 824, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 825, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 826, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 827, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 828, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 829, 'Palindrone': 'Yes', 'Number of processes': 10}
{'Number': 830, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 831, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 832, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 833, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 834, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 835, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 836, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 837, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 838, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 839, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 840, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 841, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 842, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 843, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 844, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 845, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 846, 'Palindrone': 'Yes', 'Number of processes': 5}
